[id][cost,state,father_id,action,depth,h,value]
[0][0,(17, 4),None,None,0,39,39]
[1][3,(16, 4),0,N,1,40,43]
[7][6,(16, 5),1,E,2,39,45]
[10][9,(16, 6),7,E,3,38,47]
[15][12,(17, 6),10,S,4,37,49]
[18][14,(17, 7),15,E,5,36,50]
[19][16,(16, 7),18,N,6,37,53]
[23][19,(15, 7),19,N,7,38,57]
[44][23,(15, 8),23,E,8,37,60]
[55][26,(15, 9),44,E,9,36,62]
[59][30,(16, 9),55,S,10,35,65]
[66][34,(16, 10),59,E,11,34,68]
[84][37,(16, 11),66,E,12,33,70]
[88][40,(17, 11),84,S,13,32,72]
[95][43,(17, 12),88,E,14,31,74]
[101][45,(16, 12),95,N,15,32,77]
[112][49,(16, 13),101,E,16,31,80]
[124][52,(15, 13),112,N,17,32,84]
[139][56,(15, 12),124,O,18,33,89]
[149][60,(15, 11),139,O,19,34,94]
[164][63,(14, 11),149,N,20,35,98]
[185][65,(13, 11),164,N,21,36,101]
[204][69,(12, 11),185,N,22,37,106]
[245][70,(11, 11),204,N,23,38,108]
[275][72,(10, 11),245,N,24,39,111]
[320][74,(9, 11),275,N,25,40,114]
[375][77,(8, 11),320,N,26,41,118]
[453][80,(8, 10),375,O,27,42,122]
[505][81,(9, 10),453,S,28,41,122]
[507][82,(10, 10),505,S,29,40,122]
[511][84,(10, 9),507,O,30,41,125]
[548][85,(10, 8),511,O,31,42,127]
[569][88,(11, 8),548,S,32,41,129]
[596][92,(12, 8),569,S,33,40,132]
[628][96,(13, 8),596,S,34,39,135]
[645][98,(14, 8),628,S,35,38,136]
[658][99,(14, 7),645,O,36,39,138]
[674][102,(14, 6),658,O,37,40,142]
[729][106,(13, 6),674,N,38,41,147]
[777][108,(13, 5),729,O,39,42,150]
[790][111,(14, 5),777,S,40,41,152]
[804][112,(14, 4),790,O,41,42,154]
[822][115,(13, 4),804,N,42,43,158]
[862][119,(12, 4),822,N,43,44,163]
[920][120,(11, 4),862,N,44,45,165]
[943][122,(10, 4),920,N,45,46,168]
[971][125,(10, 5),943,E,46,45,170]
[1000][128,(11, 5),971,S,47,44,172]
[1015][130,(11, 6),1000,E,48,43,173]
[1021][132,(12, 6),1015,S,49,42,174]
[1039][135,(12, 7),1021,E,50,41,176]
[1054][138,(11, 7),1039,N,51,42,180]
[1097][141,(10, 7),1054,N,52,43,184]
[1127][143,(10, 6),1097,O,53,44,187]
[1144][144,(9, 6),1127,N,54,45,189]
[1164][148,(8, 6),1144,N,55,46,194]
[1223][152,(7, 6),1164,N,56,47,199]
[1287][153,(7, 7),1223,E,57,46,199]
[1289][154,(7, 8),1287,E,58,45,199]
[1292][158,(7, 9),1289,E,59,44,202]
[1352][159,(7, 10),1292,E,60,43,202]
[1354][162,(6, 10),1352,N,61,44,206]
[1403][166,(5, 10),1354,N,62,45,211]
[1460][167,(5, 11),1403,E,63,44,211]
[1462][171,(6, 11),1460,S,64,43,214]
[1490][172,(6, 12),1462,E,65,42,214]
[1491][176,(5, 12),1490,N,66,43,219]
[1533][178,(5, 13),1491,E,67,42,220]
[1539][179,(5, 14),1533,E,68,41,220]
[1542][180,(4, 14),1539,N,69,42,222]
[1548][183,(3, 14),1542,N,70,43,226]
[1567][187,(3, 13),1548,O,71,44,231]
[1584][188,(3, 12),1567,O,72,45,233]
[1595][190,(2, 12),1584,N,73,46,236]
[1606][193,(2, 11),1595,O,74,47,240]
[1626][194,(2, 10),1606,O,75,48,242]
[1638][198,(2, 9),1626,O,76,49,247]
[1652][201,(1, 9),1638,N,77,50,251]
[1669][204,(0, 9),1652,N,78,51,255]
[1693][206,(0, 8),1669,O,79,52,258]
[1708][210,(0, 7),1693,O,80,53,263]
[1749][212,(0, 6),1708,O,81,54,266]
[1759][214,(1, 6),1749,S,82,53,267]
[1765][217,(1, 5),1759,O,83,54,271]
[1775][218,(2, 5),1765,S,84,53,271]
[1778][222,(3, 5),1775,S,85,52,274]
[1781][225,(4, 5),1778,S,86,51,276]
[1786][229,(4, 4),1781,O,87,52,281]
[1791][233,(5, 4),1786,S,88,51,284]
[1794][234,(5, 3),1791,O,89,52,286]
[1797][238,(5, 4),1794,E,90,51,289]
