[id][cost,state,father_id,action,depth,h,value]
[0][0,(17, 4),None,None,0,39,0]
[1][3,(16, 4),0,N,1,40,1]
[4][6,(16, 5),1,E,2,39,2]
[12][9,(16, 6),4,E,3,38,3]
[16][12,(17, 6),12,S,4,37,4]
[19][14,(17, 7),16,E,5,36,5]
[20][16,(16, 7),19,N,6,37,6]
[23][19,(15, 7),20,N,7,38,7]
[29][23,(15, 8),23,E,8,37,8]
[41][26,(15, 9),29,E,9,36,9]
[52][30,(16, 9),41,S,10,35,10]
[63][34,(16, 10),52,E,11,34,11]
[76][37,(16, 11),63,E,12,33,12]
[87][40,(17, 11),76,S,13,32,13]
[95][43,(17, 12),87,E,14,31,14]
[102][45,(16, 12),95,N,15,32,15]
[109][49,(16, 13),102,E,16,31,16]
[117][52,(15, 13),109,N,17,32,17]
[128][56,(15, 12),117,O,18,33,18]
[139][60,(15, 11),128,O,19,34,19]
[146][63,(14, 11),139,N,20,35,20]
[152][65,(13, 11),146,N,21,36,21]
[161][69,(12, 11),152,N,22,37,22]
[172][70,(11, 11),161,N,23,38,23]
[187][72,(10, 11),172,N,24,39,24]
[208][74,(9, 11),187,N,25,40,25]
[226][77,(8, 11),208,N,26,41,26]
[243][80,(8, 10),226,O,27,42,27]
[263][81,(9, 10),243,S,28,41,28]
[289][82,(10, 10),263,S,29,40,29]
[325][84,(10, 9),289,O,30,41,30]
[361][85,(10, 8),325,O,31,42,31]
[394][88,(11, 8),361,S,32,41,32]
[421][92,(12, 8),394,S,33,40,33]
[453][96,(13, 8),421,S,34,39,34]
[487][98,(14, 8),453,S,35,38,35]
[518][99,(14, 7),487,O,36,39,36]
[545][102,(14, 6),518,O,37,40,37]
[568][106,(13, 6),545,N,38,41,38]
[592][108,(13, 5),568,O,39,42,39]
[616][111,(14, 5),592,S,40,41,40]
[641][112,(14, 4),616,O,41,42,41]
[664][115,(13, 4),641,N,42,43,42]
[693][119,(12, 4),664,N,43,44,43]
[722][120,(11, 4),693,N,44,45,44]
[753][122,(10, 4),722,N,45,46,45]
[780][125,(10, 5),753,E,46,45,46]
[809][128,(11, 5),780,S,47,44,47]
[833][130,(11, 6),809,E,48,43,48]
[856][132,(12, 6),833,S,49,42,49]
[889][135,(12, 7),856,E,50,41,50]
[926][138,(11, 7),889,N,51,42,51]
[957][141,(10, 7),926,N,52,43,52]
[989][143,(10, 6),957,O,53,44,53]
[1018][144,(9, 6),989,N,54,45,54]
[1046][148,(8, 6),1018,N,55,46,55]
[1075][152,(7, 6),1046,N,56,47,56]
[1106][153,(7, 7),1075,E,57,46,57]
[1148][154,(7, 8),1106,E,58,45,58]
[1186][158,(7, 9),1148,E,59,44,59]
[1219][159,(7, 10),1186,E,60,43,60]
[1254][162,(6, 10),1219,N,61,44,61]
[1289][166,(5, 10),1254,N,62,45,62]
[1315][167,(5, 11),1289,E,63,44,63]
[1339][171,(6, 11),1315,S,64,43,64]
[1362][172,(6, 12),1339,E,65,42,65]
[1381][176,(5, 12),1362,N,66,43,66]
[1402][178,(5, 13),1381,E,67,42,67]
[1424][179,(5, 14),1402,E,68,41,68]
[1440][180,(4, 14),1424,N,69,42,69]
[1450][183,(3, 14),1440,N,70,43,70]
[1462][184,(2, 14),1450,N,71,44,71]
[1477][188,(1, 14),1462,N,72,45,72]
[1494][191,(1, 15),1477,E,73,44,73]
[1512][193,(2, 15),1494,S,74,43,74]
[1540][197,(2, 16),1512,E,75,42,75]
[1564][199,(3, 16),1540,S,76,41,76]
[1590][201,(4, 16),1564,S,77,40,77]
[1615][204,(4, 15),1590,O,78,41,78]
[1636][207,(5, 15),1615,S,79,40,79]
[1655][209,(6, 15),1636,S,80,39,80]
[1673][213,(7, 15),1655,S,81,38,81]
[1690][215,(8, 15),1673,S,82,37,82]
[1708][217,(9, 15),1690,S,83,36,83]
[1730][219,(9, 16),1708,E,84,35,84]
[1749][222,(8, 16),1730,N,85,36,85]
[1764][226,(8, 17),1749,E,86,35,86]
[1776][228,(8, 18),1764,E,87,34,87]
[1784][231,(7, 18),1776,N,88,35,88]
[1790][233,(7, 19),1784,E,89,34,89]
[1795][234,(7, 20),1790,E,90,33,90]
[1798][236,(7, 19),1795,O,91,34,91]
