[id][cost,state,father_id,action,depth,h,value]
[0][0,(17, 4),None,None,0,39,39]
[1][3,(16, 4),0,N,1,40,40]
[5][6,(16, 5),1,E,2,39,39]
[8][9,(16, 6),5,E,3,38,38]
[10][12,(17, 6),8,S,4,37,37]
[13][14,(17, 7),10,E,5,36,36]
[14][16,(16, 7),13,N,6,37,37]
[58][19,(15, 7),14,N,7,38,38]
[68][23,(15, 8),58,E,8,37,37]
[71][26,(15, 9),68,E,9,36,36]
[73][30,(16, 9),71,S,10,35,35]
[76][34,(16, 10),73,E,11,34,34]
[80][37,(16, 11),76,E,12,33,33]
[82][40,(17, 11),80,S,13,32,32]
[85][43,(17, 12),82,E,14,31,31]
[88][45,(16, 12),85,N,15,32,32]
[272][49,(16, 13),88,E,16,31,31]
[274][52,(15, 13),272,N,17,32,32]
[963][56,(15, 12),274,O,18,33,33]
[988][60,(15, 11),963,O,19,34,34]
[1043][63,(14, 11),988,N,20,35,35]
[1087][65,(13, 11),1043,N,21,36,36]
[1142][69,(12, 11),1087,N,22,37,37]
[1154][70,(11, 11),1142,N,23,38,38]
[1217][72,(10, 11),1154,N,24,39,39]
[1250][74,(9, 11),1217,N,25,40,40]
[1257][77,(8, 11),1250,N,26,41,41]
[1284][80,(8, 10),1257,O,27,42,42]
[1292][81,(9, 10),1284,S,28,41,41]
[1294][82,(10, 10),1292,S,29,40,40]
[1298][84,(10, 9),1294,O,30,41,41]
[1309][85,(10, 8),1298,O,31,42,42]
[1313][88,(11, 8),1309,S,32,41,41]
[1316][92,(12, 8),1313,S,33,40,40]
[1319][96,(13, 8),1316,S,34,39,39]
[1321][98,(14, 8),1319,S,35,38,38]
[1323][99,(14, 7),1321,O,36,39,39]
[1325][102,(14, 6),1323,O,37,40,40]
[1326][106,(13, 6),1325,N,38,41,41]
[1329][108,(13, 5),1326,O,39,42,42]
[1332][111,(14, 5),1329,S,40,41,41]
[1334][112,(14, 4),1332,O,41,42,42]
[1335][115,(13, 4),1334,N,42,43,43]
[1340][119,(12, 4),1335,N,43,44,44]
[1345][120,(12, 3),1340,O,44,45,45]
[1353][122,(11, 3),1345,N,45,46,46]
[1380][126,(10, 3),1353,N,46,47,47]
[1552][130,(10, 2),1380,O,47,48,48]
[1561][132,(9, 2),1552,N,48,49,49]
[1635][135,(8, 2),1561,N,49,50,50]
[1657][136,(8, 1),1635,O,50,51,51]
[1686][138,(8, 0),1657,O,51,52,52]
[1695][140,(7, 0),1686,N,52,53,53]
[1709][141,(6, 0),1695,N,53,54,54]
[1745][144,(5, 0),1709,N,54,55,55]
[1756][146,(4, 0),1745,N,55,56,56]
[1758][147,(4, 1),1756,E,56,55,55]
[1761][148,(4, 2),1758,E,57,54,54]
[1763][152,(3, 2),1761,N,58,55,55]
[1767][153,(2, 2),1763,N,59,56,56]
[1769][154,(1, 2),1767,N,60,57,57]
[1775][155,(1, 1),1769,O,61,58,58]
[1786][158,(0, 1),1775,N,62,59,59]
[1791][161,(0, 0),1786,O,63,60,60]
[1793][163,(1, 0),1791,S,64,59,59]
[1794][166,(0, 0),1793,N,65,60,60]
