[id][cost,state,father_id,action,depth,h,value]
[0][0,(17, 4),None,None,0,39,0]
[1][3,(16, 4),0,N,1,40,3]
[7][6,(16, 5),1,E,2,39,6]
[12][9,(16, 6),7,E,3,38,9]
[15][12,(17, 6),12,S,4,37,12]
[19][14,(17, 7),15,E,5,36,14]
[20][16,(16, 7),19,N,6,37,16]
[23][19,(15, 7),20,N,7,38,19]
[29][23,(15, 8),23,E,8,37,23]
[45][26,(15, 9),29,E,9,36,26]
[56][30,(16, 9),45,S,10,35,30]
[69][34,(16, 10),56,E,11,34,34]
[87][37,(16, 11),69,E,12,33,37]
[93][40,(17, 11),87,S,13,32,40]
[100][43,(17, 12),93,E,14,31,43]
[105][45,(16, 12),100,N,15,32,45]
[110][49,(16, 13),105,E,16,31,49]
[118][52,(15, 13),110,N,17,32,52]
[132][56,(15, 12),118,O,18,33,56]
[144][60,(15, 11),132,O,19,34,60]
[150][63,(14, 11),144,N,20,35,63]
[159][65,(13, 11),150,N,21,36,65]
[167][69,(12, 11),159,N,22,37,69]
[185][70,(11, 11),167,N,23,38,70]
[195][72,(10, 11),185,N,24,39,72]
[208][74,(9, 11),195,N,25,40,74]
[225][77,(8, 11),208,N,26,41,77]
[245][80,(8, 10),225,O,27,42,80]
[262][81,(9, 10),245,S,28,41,81]
[276][82,(10, 10),262,S,29,40,82]
[300][84,(10, 9),276,O,30,41,84]
[329][85,(10, 8),300,O,31,42,85]
[338][88,(11, 8),329,S,32,41,88]
[383][92,(12, 8),338,S,33,40,92]
[448][96,(13, 8),383,S,34,39,96]
[494][98,(14, 8),448,S,35,38,98]
[518][99,(14, 7),494,O,36,39,99]
[525][102,(14, 6),518,O,37,40,102]
[559][106,(13, 6),525,N,38,41,106]
[600][108,(13, 5),559,O,39,42,108]
[610][111,(14, 5),600,S,40,41,111]
[638][112,(14, 4),610,O,41,42,112]
[648][115,(13, 4),638,N,42,43,115]
[684][119,(12, 4),648,N,43,44,119]
[730][120,(11, 4),684,N,44,45,120]
[745][122,(10, 4),730,N,45,46,122]
[761][125,(10, 5),745,E,46,45,125]
[806][128,(11, 5),761,S,47,44,128]
[834][130,(11, 6),806,E,48,43,130]
[855][132,(12, 6),834,S,49,42,132]
[892][135,(12, 7),855,E,50,41,135]
[918][138,(11, 7),892,N,51,42,138]
[963][141,(10, 7),918,N,52,43,141]
[1008][143,(10, 6),963,O,53,44,143]
[1020][144,(9, 6),1008,N,54,45,144]
[1032][148,(8, 6),1020,N,55,46,148]
[1085][152,(7, 6),1032,N,56,47,152]
[1153][153,(7, 7),1085,E,57,46,153]
[1168][154,(7, 8),1153,E,58,45,154]
[1182][158,(7, 9),1168,E,59,44,158]
[1250][159,(7, 10),1182,E,60,43,159]
[1261][162,(6, 10),1250,N,61,44,162]
[1294][166,(5, 10),1261,N,62,45,166]
[1333][167,(5, 11),1294,E,63,44,167]
[1340][171,(6, 11),1333,S,64,43,171]
[1389][172,(6, 12),1340,E,65,42,172]
[1398][176,(5, 12),1389,N,66,43,176]
[1426][178,(5, 13),1398,E,67,42,178]
[1449][179,(5, 14),1426,E,68,41,179]
[1455][180,(4, 14),1449,N,69,42,180]
[1465][183,(3, 14),1455,N,70,43,183]
[1482][187,(3, 13),1465,O,71,44,187]
[1507][188,(3, 12),1482,O,72,45,188]
[1512][190,(2, 12),1507,N,73,46,190]
[1529][193,(2, 11),1512,O,74,47,193]
[1555][194,(2, 10),1529,O,75,48,194]
[1567][198,(2, 9),1555,O,76,49,198]
[1595][201,(1, 9),1567,N,77,50,201]
[1610][204,(0, 9),1595,N,78,51,204]
[1630][206,(0, 8),1610,O,79,52,206]
[1644][210,(0, 7),1630,O,80,53,210]
[1674][212,(0, 6),1644,O,81,54,212]
[1696][214,(1, 6),1674,S,82,53,214]
[1714][217,(1, 5),1696,O,83,54,217]
[1729][218,(2, 5),1714,S,84,53,218]
[1739][222,(3, 5),1729,S,85,52,222]
[1756][225,(4, 5),1739,S,86,51,225]
[1771][229,(4, 4),1756,O,87,52,229]
[1784][233,(5, 4),1771,S,88,51,233]
[1790][234,(6, 4),1784,S,89,50,234]
[1795][238,(5, 4),1790,N,90,51,238]
