[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,78,1.0]
[1][3,(0, 1),0,E,1,77,0.5]
[4][7,(1, 1),1,S,2,76,0.3333333333333333]
[8][8,(1, 2),4,E,3,75,0.25]
[9][11,(2, 2),8,S,4,74,0.2]
[12][15,(3, 2),9,S,5,73,0.16666666666666666]
[15][16,(4, 2),12,S,6,72,0.14285714285714285]
[180][20,(4, 1),15,O,7,73,0.125]
[183][24,(5, 1),180,S,8,72,0.1111111111111111]
[195][28,(6, 1),183,S,9,71,0.1]
[198][30,(6, 2),195,E,10,70,0.09090909090909093]
[200][31,(7, 2),198,S,11,69,0.08333333333333333]
[205][34,(7, 1),200,O,12,70,0.07692307692307693]
[207][35,(7, 0),205,O,13,71,0.07142857142857142]
[210][37,(8, 0),207,S,14,70,0.06666666666666667]
[213][41,(8, 1),210,E,15,69,0.0625]
[214][42,(9, 1),213,S,16,68,0.05882352941176471]
[217][46,(10, 1),214,S,17,67,0.05555555555555555]
[224][50,(11, 1),217,S,18,66,0.05263157894736842]
[245][51,(12, 1),224,S,19,65,0.05]
[249][53,(13, 1),245,S,20,64,0.04761904761904762]
[255][57,(14, 1),249,S,21,63,0.04545454545454546]
[257][61,(15, 1),255,S,22,62,0.04347826086956522]
[263][62,(15, 2),257,E,23,61,0.04166666666666667]
[265][64,(15, 3),263,E,24,60,0.04]
[269][66,(15, 4),265,E,25,59,0.03846153846153847]
[286][69,(15, 5),269,E,26,58,0.03703703703703704]
[289][71,(16, 5),286,S,27,57,0.03571428571428571]
[295][75,(16, 6),289,E,28,56,0.03448275862068966]
[302][79,(17, 6),295,S,29,55,0.03333333333333334]
[310][82,(18, 6),302,S,30,54,0.03225806451612903]
[312][86,(19, 6),310,S,31,53,0.03125]
[315][87,(20, 6),312,S,32,52,0.03030303030303031]
[426][88,(20, 5),315,O,33,53,0.02941176470588236]
[429][89,(20, 4),426,O,34,54,0.02857142857142857]
[432][90,(21, 4),429,S,35,53,0.02777777777777778]
[447][94,(22, 4),432,S,36,52,0.02702702702702703]
[465][95,(22, 3),447,O,37,53,0.02631578947368421]
